id,flag,original,new,oaw_id_x,cs_applied_x,orig_eu_outer_regions_ets_flag,orig_dom,orig_gcd+95,orig_corsia_(old),orig_swiss,orig_combined_ets_flag,orig_circular,orig_uk_ets_flag,orig_eu_ets_(old),orig_swiss_ets_flag,orig_outer,orig_eu_ets_flag,oaw_id_y,cs_applied_y,new_eu_outer_regions_ets_flag,new_dom,new_gcd+95,new_corsia_(old),new_swiss,new_combined_ets_flag,new_circular,new_uk_ets_flag,new_eu_ets_(old),new_swiss_ets_flag,new_outer,new_eu_ets_flag
33798517,eu_outer_regions_ets_flag,N,Y,33798517.0,6. EFW (Euroflyer),N,N,2803.0,Y,N,N,N,N,N,N,N,N,33798517.0,6. EFW (EUROFLYER),Y,N,2803.0,Y,N,N,N,N,N,N,N,N
33798822,eu_outer_regions_ets_flag,N,Y,33798822.0,1.BAW (Speedbird),N,N,3025.0,Y,N,N,N,N,N,N,N,N,33798822.0,1.BAW (SPEEDBIRD),Y,N,3025.0,Y,N,N,N,N,N,N,N,N
33798860,eu_outer_regions_ets_flag,N,Y,33798860.0,6. EFW (Euroflyer),N,N,2551.0,Y,N,N,N,N,N,N,N,N,33798860.0,6. EFW (EUROFLYER),Y,N,2551.0,Y,N,N,N,N,N,N,N,N
33798894,eu_outer_regions_ets_flag,N,Y,33798894.0,6. EFW (Euroflyer),N,N,2972.0,Y,N,N,N,N,N,N,N,N,33798894.0,6. EFW (EUROFLYER),Y,N,2972.0,Y,N,N,N,N,N,N,N,N
33802795,eu_outer_regions_ets_flag,N,Y,33802795.0,6. EFW (Euroflyer),N,N,2972.0,Y,N,N,N,N,N,N,N,N,33802795.0,6. EFW (EUROFLYER),Y,N,2972.0,Y,N,N,N,N,N,N,N,N
33802822,eu_outer_regions_ets_flag,N,Y,33802822.0,1.BAW (Speedbird),N,N,3025.0,Y,N,N,N,N,N,N,N,N,33802822.0,1.BAW (SPEEDBIRD),Y,N,3025.0,Y,N,N,N,N,N,N,N,N
33802835,eu_outer_regions_ets_flag,N,Y,33802835.0,6. EFW (Euroflyer),N,N,3006.0,Y,N,N,N,N,N,N,N,N,33802835.0,6. EFW (EUROFLYER),Y,N,3006.0,Y,N,N,N,N,N,N,N,N
33803115,eu_outer_regions_ets_flag,N,Y,33803115.0,6. EFW (Euroflyer),N,N,2551.0,Y,N,N,N,N,N,N,N,N,33803115.0,6. EFW (EUROFLYER),Y,N,2551.0,Y,N,N,N,N,N,N,N,N
33803150,eu_outer_regions_ets_flag,N,Y,33803150.0,6. EFW (Euroflyer),N,N,3006.0,Y,N,N,N,N,N,N,N,N,33803150.0,6. EFW (EUROFLYER),Y,N,3006.0,Y,N,N,N,N,N,N,N,N
33803160,eu_outer_regions_ets_flag,N,Y,33803160.0,6. EFW (Euroflyer),N,N,2803.0,Y,N,N,N,N,N,N,N,N,33803160.0,6. EFW (EUROFLYER),Y,N,2803.0,Y,N,N,N,N,N,N,N,N
33803981,eu_outer_regions_ets_flag,N,Y,33803981.0,6. EFW (Euroflyer),N,N,3006.0,Y,N,N,N,N,N,N,N,N,33803981.0,6. EFW (EUROFLYER),Y,N,3006.0,Y,N,N,N,N,N,N,N,N
33803986,eu_outer_regions_ets_flag,N,Y,33803986.0,6. EFW (Euroflyer),N,N,2803.0,Y,N,N,N,N,N,N,N,N,33803986.0,6. EFW (EUROFLYER),Y,N,2803.0,Y,N,N,N,N,N,N,N,N
33803989,eu_outer_regions_ets_flag,N,Y,33803989.0,6. EFW (Euroflyer),N,N,2803.0,Y,N,N,N,N,N,N,N,N,33803989.0,6. EFW (EUROFLYER),Y,N,2803.0,Y,N,N,N,N,N,N,N,N
33803990,eu_outer_regions_ets_flag,N,Y,33803990.0,6. EFW (Euroflyer),N,N,2972.0,Y,N,N,N,N,N,N,N,N,33803990.0,6. EFW (EUROFLYER),Y,N,2972.0,Y,N,N,N,N,N,N,N,N
33804214,eu_outer_regions_ets_flag,N,Y,33804214.0,1.BAW (Speedbird),N,N,2592.0,Y,N,N,N,N,N,N,N,N,33804214.0,1.BAW (SPEEDBIRD),Y,N,2592.0,Y,N,N,N,N,N,N,N,N
33804216,eu_outer_regions_ets_flag,N,Y,33804216.0,1.BAW (Speedbird),N,N,3025.0,Y,N,N,N,N,N,N,N,N,33804216.0,1.BAW (SPEEDBIRD),Y,N,3025.0,Y,N,N,N,N,N,N,N,N
33804218,eu_outer_regions_ets_flag,N,Y,33804218.0,1.BAW (Speedbird),N,N,3025.0,Y,N,N,N,N,N,N,N,N,33804218.0,1.BAW (SPEEDBIRD),Y,N,3025.0,Y,N,N,N,N,N,N,N,N
33804354,eu_outer_regions_ets_flag,N,Y,33804354.0,6. EFW (Euroflyer),N,N,2551.0,Y,N,N,N,N,N,N,N,N,33804354.0,6. EFW (EUROFLYER),Y,N,2551.0,Y,N,N,N,N,N,N,N,N
33804356,eu_outer_regions_ets_flag,N,Y,33804356.0,6. EFW (Euroflyer),N,N,3006.0,Y,N,N,N,N,N,N,N,N,33804356.0,6. EFW (EUROFLYER),Y,N,3006.0,Y,N,N,N,N,N,N,N,N
33807924,eu_outer_regions_ets_flag,N,Y,33807924.0,6. EFW (Euroflyer),N,N,2551.0,Y,N,N,N,N,N,N,N,N,33807924.0,6. EFW (EUROFLYER),Y,N,2551.0,Y,N,N,N,N,N,N,N,N
